citric acid,chlorides,free sulfur dioxide,density,sulphates,alcohol,quality
0.27,0.095,5.0,0.99747,0.62,9.1,6
0.54,0.083,25.0,0.9983,0.54,9.2,5
0.39,0.061,7.0,0.9981,0.62,9.5,5
0.39,0.064,12.0,0.9984,0.65,10.2,5
0.21,0.097,29.0,0.9988,0.58,9.6,5
0.49,0.08,8.0,0.9992,0.82,10.3,6
0.24,0.226,5.0,0.9991,0.6,9.0,6
0.14,0.086,9.0,0.99824,0.64,10.5,5
0.07,0.089,11.0,0.9953,0.55,10.4,6
0.0,0.093,11.0,0.9994,0.86,9.4,6
0.13,0.076,12.0,0.99546,0.54,10.1,5
0.3,0.06,38.0,0.9958,0.56,10.2,6
0.24,0.101,20.0,0.9988,0.67,9.6,5
0.56,0.093,6.0,0.99925,0.71,10.9,6
0.39,0.059,7.0,0.99331,0.52,11.5,6
0.0,0.123,6.0,0.99627,0.58,9.8,5
0.1,0.073,25.0,0.99638,0.75,10.9,6
0.19,0.071,18.0,0.99476,0.56,10.9,5
0.19,0.104,12.0,0.9964,0.93,9.5,5
0.12,0.091,34.0,0.9956,0.48,10.5,5
0.26,0.07,35.0,0.9981,0.49,9.4,5
0.58,0.071,5.0,0.998,0.63,10.0,6
0.72,0.072,6.0,0.9987,0.82,9.8,8
0.26,0.08,31.0,0.99622,0.52,9.9,5
0.55,0.076,22.0,0.9996,0.89,9.9,6
0.1,0.048,4.0,0.99448,0.76,10.8,6
0.45,0.082,11.0,1.0,0.7,9.3,6
0.25,0.073,29.0,0.99615,0.58,10.5,6
0.34,0.062,5.0,0.99667,0.67,10.5,6
0.44,0.063,16.0,0.9985,0.78,10.0,6
0.57,0.106,5.0,0.99605,0.55,11.4,6
0.4,0.071,8.0,0.9963,0.73,10.6,6
0.3,0.083,35.0,0.997,0.52,9.4,5
0.52,0.132,17.0,0.99734,0.77,11.5,6
0.07,0.058,22.0,0.99525,0.43,10.7,6
0.44,0.081,28.0,0.99501,0.66,11.2,5
0.45,0.075,10.0,0.99552,0.76,11.9,7
0.15,0.102,11.0,0.99604,0.48,10.0,5
0.0,0.075,12.0,0.9968,0.67,9.2,5
0.33,0.099,20.0,0.99818,0.71,10.8,5
0.25,0.071,23.0,0.99633,0.97,10.6,5
0.49,0.088,15.0,0.9982,0.9,10.0,6
0.02,0.063,35.0,0.9975,0.78,9.9,5
0.04,0.069,8.0,0.9956,0.63,9.4,6
0.36,0.089,14.0,0.99615,0.56,9.2,6
0.0,0.072,27.0,0.9962,0.63,11.0,5
0.0,0.084,9.0,0.99619,0.68,10.9,6
0.2,0.071,13.0,1.0015,0.69,9.2,6
0.24,0.087,5.0,0.9988,0.6,10.2,5
0.56,0.08,6.0,0.9964,0.92,11.7,8
0.24,0.07,5.0,0.996,0.48,9.4,5
0.31,0.086,23.0,1.0002,0.74,11.6,6
0.23,0.08,11.0,0.99538,0.7,10.9,5
0.29,0.087,26.0,0.99645,0.68,11.0,5
0.24,0.102,4.0,0.99462,0.58,11.4,4
0.49,0.078,20.0,0.9992,0.7,10.0,6
0.44,0.098,6.0,0.9956,0.64,11.4,6
0.37,0.091,10.0,0.99786,0.56,10.5,5
0.08,0.071,16.0,0.99376,0.77,11.1,6
0.0,0.095,5.0,0.99854,0.53,9.6,5
0.63,0.084,5.0,0.9998,0.74,11.2,7
0.13,0.076,15.0,0.9973,0.64,9.8,5
0.4,0.065,24.0,0.99554,0.86,11.0,6
0.07,0.1,8.0,0.9961,0.58,9.6,5
0.29,0.11,19.0,0.9972,1.98,9.8,5
0.27,0.092,23.0,0.99471,0.64,12.3,7
0.24,0.087,12.0,0.9998,0.54,9.8,5
0.12,0.067,12.0,0.9971,0.57,9.1,5
0.31,0.086,23.0,1.0002,0.74,11.6,6
0.42,0.07,29.0,0.9973,0.72,10.5,5
0.0,0.065,9.0,0.9972,0.65,9.2,5
0.0,0.267,16.0,0.99471,0.51,9.8,3
0.34,0.062,8.0,0.9974,0.94,10.9,6
0.1,0.062,39.0,0.99512,0.76,11.2,6
0.02,0.085,17.0,0.99589,0.51,10.4,6
0.0,0.097,14.0,0.99675,0.58,9.0,6
0.49,0.094,16.0,0.9986,1.02,10.6,7
0.45,0.071,16.0,0.9991,0.62,9.4,5
0.1,0.068,4.0,0.99562,0.47,10.5,5
0.02,0.072,17.0,0.99575,0.61,10.2,5
0.74,0.075,6.0,1.0008,0.79,8.4,6
0.07,0.086,15.0,0.99502,0.48,10.0,5
0.26,0.089,23.0,0.99636,0.59,9.7,5
0.17,0.065,15.0,0.99514,0.68,10.55,7
0.41,0.086,30.0,0.9998,0.57,9.3,5
0.73,0.074,38.0,0.999,0.85,12.0,7
0.4,0.052,4.0,0.99356,0.7,12.8,7
0.04,0.087,12.0,0.99565,0.6,9.4,4
0.04,0.045,41.0,0.9938,0.48,10.5,4
0.23,0.072,13.0,0.99438,0.84,11.2,6
0.49,0.088,16.0,0.998,0.64,9.1,5
0.31,0.079,26.0,0.99716,0.62,9.5,6
0.0,0.066,34.0,0.9976,0.68,9.9,5
0.5,0.099,19.0,0.99783,0.58,10.4,5
0.28,0.087,23.0,0.998,0.74,9.2,5
0.49,0.039,8.0,0.99344,0.56,12.4,6
0.39,0.054,6.0,0.9976,0.47,10.0,5
0.3,0.088,17.0,0.9976,0.51,9.3,4
0.06,0.079,19.0,0.99697,0.62,10.1,6
0.11,0.084,12.0,0.9979,0.48,9.9,5
0.03,0.079,23.0,0.99572,0.5,11.2,4
0.61,0.076,11.0,1.0,0.69,9.0,5
0.0,0.065,8.0,0.9966,0.84,9.4,5
0.22,0.075,13.0,0.99688,0.54,9.5,6
0.53,0.091,18.0,0.9976,0.8,9.6,6
0.1,0.066,27.0,0.99655,0.51,9.3,5
0.49,0.088,39.0,0.9966,0.78,11.0,5
0.0,0.055,7.0,0.99639,0.56,10.8,5
0.21,0.087,21.0,0.9955,0.44,9.2,5
0.0,0.084,13.0,0.9992,0.45,9.4,5
0.12,0.086,12.0,0.9958,0.52,10.1,5
0.0,0.114,3.0,0.99636,0.6,9.7,6
0.17,0.077,5.0,0.9976,0.55,10.4,5
0.24,0.077,18.0,0.9948,0.6,10.6,6
0.1,0.081,13.0,0.99631,0.66,10.2,5
0.06,0.05,38.0,0.99236,0.5,10.55,6
0.41,0.078,25.0,0.9953,0.77,12.6,7
0.0,0.066,7.0,0.99256,0.58,12.9,5
0.0,0.087,17.0,0.99783,0.53,9.5,5
0.32,0.103,13.0,0.99938,0.62,9.5,5
0.03,0.095,25.0,0.995,0.54,10.1,5
0.06,0.069,15.0,0.9964,0.46,9.4,5
0.3,0.065,8.0,0.99774,0.71,10.5,6
0.44,0.075,10.0,1.00005,0.84,9.2,7
0.43,0.076,31.0,0.99672,0.81,10.4,6
0.27,0.071,14.0,0.99388,0.63,12.0,6
0.22,0.077,12.0,0.9967,0.51,9.2,5
0.15,0.104,29.0,0.99786,0.58,9.1,5
0.28,0.048,13.0,0.99374,0.6,12.8,5
0.26,0.101,16.0,0.9957,0.57,9.4,5
0.24,0.078,27.0,0.99648,0.59,11.1,6
0.44,0.068,17.0,0.99328,0.54,12.4,6
0.0,0.084,6.0,0.99672,0.49,9.7,4
0.05,0.061,20.0,0.99705,0.55,9.7,3
0.69,0.095,17.0,0.9994,0.61,10.8,6
0.17,0.082,21.0,0.996,0.48,9.5,5
0.2,0.081,15.0,0.998,0.59,9.5,5
0.0,0.08,11.0,0.9976,0.53,9.5,5
0.14,0.085,21.0,0.9968,0.63,9.7,6
0.36,0.079,11.0,0.99615,0.86,12.0,7
0.24,0.092,14.0,0.998,0.73,10.0,6
0.52,0.088,12.0,0.99613,0.58,11.1,6
0.52,0.083,14.0,0.9976,0.61,11.3,6
0.33,0.08,24.0,0.99655,0.6,9.5,5
0.39,0.06,21.0,0.99495,0.82,11.0,7
0.21,0.069,4.0,0.99458,0.54,9.8,6
0.21,0.079,8.0,0.997,0.58,9.3,6
0.0,0.089,13.0,0.9978,0.46,9.6,4
0.49,0.067,6.0,0.9987,0.86,10.7,6
0.68,0.415,14.0,0.99656,1.06,9.1,6
0.22,0.077,6.0,0.9988,0.56,10.6,6
0.54,0.084,5.0,0.9987,0.7,9.2,6
0.25,0.103,13.0,0.9957,0.55,9.2,5
0.49,0.086,23.0,0.9976,0.64,9.5,5
0.3,0.083,35.0,0.997,0.52,9.4,5
0.47,0.074,7.0,0.9979,0.46,9.5,5
0.11,0.048,16.0,0.99182,0.88,13.5666666666667,7
0.0,0.065,15.0,0.9946,0.47,10.0,7
0.44,0.104,8.0,0.99732,0.78,11.0,7
0.09,0.049,17.0,0.9937,0.63,13.0,5
0.38,0.094,24.0,0.9979,0.7,10.8,6
0.37,0.076,8.0,0.9974,0.7,9.6,6
0.47,0.062,13.0,0.9983,0.66,10.0,6
0.43,0.071,14.0,0.99428,0.87,11.2,7
0.32,0.084,21.0,0.9984,0.62,9.4,5
0.0,0.123,15.0,0.99538,0.63,11.3,6
0.45,0.092,20.0,0.99918,0.43,9.4,5
0.59,0.087,13.0,0.9988,0.65,11.0,6
0.15,0.078,17.0,0.99294,0.6,10.5,6
0.6,0.104,10.0,0.99828,0.68,10.6,5
0.3,0.079,7.0,0.99788,0.61,10.5,5
0.12,0.083,8.0,0.99836,0.65,10.4,6
0.18,0.07,13.0,0.997,0.6,9.1,5
0.37,0.214,55.0,1.00369,0.77,9.0,6
0.49,0.085,17.0,0.9982,0.6,9.8,5
0.21,0.08,12.0,0.99689,0.66,9.8,5
0.02,0.072,31.0,0.99566,0.68,11.1,6
0.01,0.08,27.0,0.9955,0.58,10.7,6
0.0,0.088,16.0,0.99756,0.67,10.2,5
0.48,0.077,8.0,0.99852,0.53,11.0,5
0.2,0.047,15.0,0.9955,0.44,10.9,5
0.55,0.081,5.0,1.0006,0.54,9.4,5
0.21,0.077,32.0,0.9956,0.45,9.9,5
0.27,0.068,24.0,0.9948,0.57,11.3,6
0.41,0.069,18.0,0.99859,0.81,10.9,7
0.68,0.05,37.5,0.99316,0.51,12.3,7
0.02,0.082,24.0,0.99744,0.53,9.7,6
0.33,0.07,9.0,0.9978,0.6,9.3,5
0.45,0.075,10.0,0.99552,0.76,11.9,7
0.22,0.084,4.0,0.99682,0.57,9.9,6
0.1,0.079,6.0,0.9986,0.56,10.1,6
0.25,0.076,29.0,0.9953,0.6,10.4,5
0.53,0.105,33.0,1.001,0.95,9.2,5
0.73,0.074,38.0,0.999,0.85,12.0,7
0.25,0.075,9.0,0.99779,0.57,9.7,5
0.02,0.078,18.0,0.99712,0.75,9.8,5
0.58,0.071,17.0,0.99935,0.78,10.1,5
0.5,0.337,27.0,0.9964,1.61,9.5,6
0.49,0.07,26.0,0.9981,0.57,9.6,4
0.45,0.071,16.0,0.9991,0.62,9.4,5
0.28,0.11,20.0,0.9972,1.95,9.9,6
0.01,0.056,5.0,0.99472,0.56,11.4,5
0.26,0.062,9.0,0.9966,0.64,9.6,5
0.42,0.071,28.0,0.9973,0.71,10.5,5
0.2,0.058,8.0,0.99322,0.49,11.7,5
0.08,0.056,3.0,0.99286,0.37,13.0,5
0.24,0.078,10.0,0.99692,0.67,10.0,5
0.06,0.078,17.0,0.99746,0.53,9.7,5
0.25,0.098,5.0,0.9964,0.6,10.1,6
0.26,0.063,3.0,0.9915,0.54,13.5,6
0.39,0.078,17.0,0.99444,0.77,12.5,7
0.34,0.082,5.0,0.9987,0.52,10.7,6
0.24,0.095,19.0,0.9946,0.57,11.7,6
0.51,0.104,4.0,0.9996,0.97,10.1,6
0.46,0.094,3.0,0.99639,0.64,12.2,7
0.23,0.08,11.0,0.99538,0.7,10.9,5
0.17,0.073,7.0,0.99425,0.54,11.4,5
0.5,0.055,12.0,0.9952,0.79,13.3,7
0.41,0.083,11.0,0.9982,0.5,9.5,5
0.0,0.052,9.0,0.99467,0.63,10.9,6
0.41,0.084,7.0,0.9984,0.67,9.3,6
0.09,0.084,18.0,0.9994,0.72,11.1,6
0.06,0.078,12.0,0.99625,0.52,9.9,6
0.36,0.075,10.0,0.9976,0.46,9.4,5
0.15,0.089,10.0,0.9968,0.77,9.5,5
0.33,0.063,13.0,0.99516,0.84,11.7,7
0.36,0.116,26.0,0.99722,0.68,10.9,5
0.0,0.075,13.0,0.9978,0.56,9.4,5
0.02,0.084,6.0,0.99892,0.49,11.0,3
0.18,0.071,12.0,0.99761,0.72,9.6,6
0.28,0.066,21.0,0.9973,0.54,9.4,6
0.11,0.09,16.0,0.9965,0.82,9.6,5
0.0,0.06,6.0,0.99664,0.61,10.0,4
0.34,0.064,12.0,0.99516,0.84,11.7,7
0.38,0.062,9.0,0.9968,0.53,9.5,6
0.4,0.109,7.0,0.99614,0.79,11.8,7
0.49,0.118,10.0,1.0002,0.56,11.7,6
0.22,0.064,9.0,0.9963,0.55,9.4,5
0.44,0.042,6.0,0.99542,0.61,10.7,5
0.24,0.108,18.0,0.9967,0.59,9.3,5
0.25,0.076,34.0,0.99668,0.42,9.2,5
0.0,0.07,32.0,0.99438,0.58,11.4,6
0.5,0.078,19.0,1.0003,1.11,11.0,6
0.05,0.045,12.0,0.9924,0.82,12.9,8
0.0,0.1,6.0,0.99521,0.59,11.0,5
0.68,0.114,6.0,0.997,0.66,13.4,6
0.01,0.093,9.0,0.99514,0.58,11.0,7
0.49,0.089,5.0,1.0002,0.44,9.6,5
0.47,0.085,14.0,0.99965,0.8,10.5,7
0.41,0.092,26.0,0.9982,0.53,10.5,6
0.2,0.09,18.0,0.998,0.7,9.6,6
0.29,0.054,19.0,0.99666,0.76,10.9,7
0.44,0.085,9.0,0.99708,0.55,9.5,5
0.06,0.05,6.0,0.99348,0.54,11.95,5
0.43,0.059,15.0,0.9966,0.57,11.0,5
0.03,0.08,17.0,0.99745,0.58,9.8,6
0.49,0.078,26.0,0.9978,0.58,9.2,5
0.22,0.08,25.0,0.99613,0.49,9.9,5
0.49,0.063,18.0,0.9976,0.51,9.8,6
0.12,0.097,19.0,0.99596,0.49,9.4,5
0.03,0.086,14.0,0.9969,0.46,10.3,5
0.44,0.066,22.0,0.99494,0.84,11.5,6
0.36,0.071,17.0,0.9978,0.8,10.5,5
0.4,0.06,12.0,0.99474,0.64,11.8,6
0.31,0.126,24.0,0.99746,0.74,9.6,5
0.06,0.08,8.0,0.99845,0.71,9.6,5
0.51,0.121,7.0,0.9996,0.76,10.4,6
0.2,0.075,15.0,0.99467,0.67,12.5,6
0.53,0.06,3.0,0.99572,0.83,10.9,7
0.31,0.09,13.0,0.9966,0.63,10.5,6
0.46,0.062,26.0,0.9959,0.83,10.6,6
0.31,0.09,26.0,0.9994,0.63,10.2,6
0.02,0.122,68.0,0.9994,0.53,9.9,5
0.26,0.236,10.0,0.9968,0.8,9.3,5
0.26,0.097,7.0,0.9976,0.6,9.3,6
0.06,0.087,27.0,0.9965,0.67,10.7,6
0.0,0.092,22.0,0.99635,0.58,10.0,6
0.35,0.077,21.0,0.9976,0.62,9.4,5
0.0,0.067,7.0,0.99517,0.58,10.9,4
0.21,0.08,7.0,0.9961,0.47,9.5,5
0.49,0.1,5.0,1.001,0.74,11.9,6
0.21,0.106,10.0,0.9966,0.91,9.5,5
0.23,0.059,5.0,0.997,0.56,11.3,5
0.09,0.066,15.0,0.99459,0.7,10.0,7
0.09,0.178,10.0,0.9962,0.57,9.0,5
0.14,0.064,13.0,0.99397,0.62,11.7,7
0.27,0.058,18.0,0.99518,0.85,11.1,6
0.08,0.094,10.0,0.99576,0.5,9.8,5
0.02,0.066,8.0,0.9972,0.67,9.5,6
0.23,0.092,28.0,0.9983,0.56,9.2,5
0.42,0.057,18.0,0.994,0.69,11.2,6
0.0,0.08,15.0,0.99444,0.61,12.5,6
0.37,0.082,24.0,0.9964,0.59,9.4,6
0.32,0.07,51.0,0.99418,0.82,12.9,6
0.24,0.076,16.0,0.9976,0.61,9.4,5
0.05,0.081,13.0,0.9966,0.57,9.8,5
0.4,0.098,10.0,1.0006,0.91,9.7,5
0.37,0.076,8.0,0.9974,0.7,9.6,6
0.6,0.067,12.0,0.9981,0.97,10.1,6
0.43,0.068,5.0,0.99478,0.46,11.4,5
0.68,0.358,5.0,0.9972,1.08,9.9,7
0.22,0.075,13.0,0.99688,0.54,9.5,6
0.16,0.08,11.0,0.9955,0.56,9.3,5
0.08,0.076,8.0,0.9978,0.53,9.0,5
0.57,0.111,26.0,0.9971,0.53,9.7,5
0.04,0.076,18.0,0.99745,0.55,9.5,5
0.19,0.094,19.0,0.99713,0.52,9.6,6
0.22,0.074,15.0,0.99438,0.82,11.2,6
0.02,0.08,36.0,0.99524,0.53,9.7,5
0.08,0.092,10.0,0.9974,0.71,9.8,6
0.25,0.081,14.0,0.9984,0.65,9.0,6
0.09,0.065,7.0,0.99685,0.55,9.0,6
0.02,0.062,15.0,0.99627,0.6,11.0,6
0.01,0.054,5.0,0.9934,0.84,12.5,7
0.49,0.095,10.0,1.00315,0.74,11.1,5
0.1,0.089,17.0,0.99803,0.55,9.5,5
0.45,0.075,10.0,0.99552,0.76,11.9,7
0.3,0.076,30.0,0.9976,0.53,9.4,5
0.09,0.123,14.0,0.9968,0.67,11.0,4
0.5,0.071,7.0,0.99462,0.69,12.5,8
0.33,0.068,34.0,0.99414,0.78,12.8,6
0.21,0.083,14.0,0.99532,0.47,10.5,5
0.0,0.05,27.0,0.9916,0.79,14.0,6
0.33,0.076,11.0,0.99599,0.81,11.0,6
0.56,0.075,17.0,0.998,0.58,9.8,6
0.24,0.079,19.0,0.9991,0.56,10.1,6
0.08,0.059,20.0,0.99484,0.64,10.2,6
0.0,0.081,3.0,0.9964,0.49,10.9,5
0.41,0.103,6.0,0.99604,0.58,11.9,7
0.01,0.088,12.0,0.99568,0.56,10.5,7
0.16,0.074,8.0,0.99606,0.55,9.7,5
0.26,0.08,31.0,0.99622,0.52,9.9,5
0.01,0.088,12.0,0.99568,0.56,10.5,7
0.11,0.077,6.0,0.9984,0.7,10.1,6
0.29,0.098,5.0,0.9988,0.49,9.1,5
0.06,0.087,27.0,0.9965,0.67,10.7,6
0.46,0.078,15.0,0.9973,0.86,12.8,8
0.49,0.093,54.0,1.0002,0.76,10.7,7
0.42,0.058,9.0,0.99392,0.55,11.4,5
0.3,0.053,36.0,0.9965,1.62,9.5,5
0.0,0.091,9.0,0.99488,0.55,11.5,7
0.56,0.047,3.0,0.99471,0.51,11.8,6
0.33,0.046,12.0,0.99294,0.62,12.2,6
0.15,0.089,10.0,0.9968,0.77,9.5,5
0.79,0.12,23.0,1.0018,0.77,13.0,5
0.63,0.088,13.0,0.9997,0.6,10.4,6
0.0,0.057,15.0,0.99448,0.45,9.5,5
0.48,0.125,15.0,0.998,0.81,9.7,6
0.43,0.08,21.0,0.9985,0.57,10.1,5
0.5,0.107,7.0,0.9979,0.93,11.8,6
0.1,0.09,4.0,0.99855,0.49,9.5,5
0.08,0.105,16.0,0.9958,0.52,11.0,5
0.12,0.082,30.0,0.99865,0.64,10.4,6
0.12,0.083,13.0,0.9966,0.62,10.2,7
0.42,0.092,8.0,0.9959,0.59,9.5,5
0.32,0.064,4.0,0.99576,0.8,11.2,6
0.2,0.077,11.0,0.9971,0.58,9.3,5
0.01,0.103,32.0,0.99586,0.66,11.3,6
0.06,0.077,15.0,0.99746,0.54,9.5,5
0.33,0.064,21.0,0.9952,0.77,12.1,7
0.01,0.07,5.0,0.9967,0.58,11.0,4
0.34,0.05,4.0,0.99554,0.48,9.1,6
0.11,0.066,18.0,0.99483,0.66,10.9,6
0.02,0.096,5.0,0.997,0.57,11.0,4
0.63,0.084,5.0,0.9998,0.74,11.2,7
0.0,0.074,16.0,0.9972,0.7,9.9,6
0.07,0.076,6.0,0.9962,0.58,10.7,5
0.08,0.074,40.0,0.99529,0.49,9.6,5
0.11,0.079,11.0,0.9968,0.58,9.6,5
0.0,0.096,3.0,0.99557,0.62,11.5,4
0.02,0.05,5.0,0.9962,0.52,9.5,5
0.01,0.074,13.0,0.99748,0.65,9.8,5
0.04,0.084,25.0,0.9978,0.53,9.5,5
0.36,0.084,6.0,0.99704,0.77,10.8,6
0.54,0.082,12.0,0.9997,1.36,9.8,7
0.18,0.078,10.0,0.99576,0.49,9.9,5
0.05,0.081,16.0,0.99564,0.6,10.3,6
0.52,0.113,12.0,0.9969,0.58,9.5,5
0.4,0.055,3.0,0.99738,0.66,11.6,7
0.42,0.077,6.0,0.9976,1.05,10.8,7
0.53,0.097,6.0,0.9986,0.82,11.7,7
0.1,0.08,16.0,0.99736,0.69,10.8,7
0.2,0.077,28.0,0.9956,0.64,10.4,6
0.52,0.08,29.0,1.0001,0.88,11.0,5
0.18,0.062,7.0,0.9951,0.6,9.3,5
0.66,0.039,15.0,0.99357,0.6,11.5,6
0.26,0.052,19.0,0.9951,0.79,10.9,6
0.32,0.067,4.0,0.99473,0.76,12.8,7
0.13,0.076,12.0,0.99546,0.54,10.1,5
0.21,0.073,46.0,0.9964,0.58,9.5,5
0.01,0.076,14.0,0.99522,0.53,10.8,6
0.28,0.096,17.0,0.99734,0.63,10.2,6
0.57,0.074,3.0,0.9981,0.7,9.9,6
0.26,0.083,33.0,0.9968,0.58,9.5,6
0.1,0.076,30.0,0.99554,0.48,9.4,6
0.0,0.052,3.0,0.996,0.47,10.3,5
0.26,0.083,17.0,0.99616,0.56,9.8,6
0.24,0.071,30.0,0.99576,0.58,10.1,5
0.52,0.111,5.0,0.99568,0.62,11.3,6
0.35,0.083,17.0,0.99622,0.66,11.1,6
0.49,0.098,12.0,1.0004,0.61,10.3,5
0.49,0.084,21.0,0.9987,0.57,9.7,5
0.0,0.069,4.0,0.99396,0.37,10.4,4
0.02,0.066,8.0,0.9972,0.67,9.5,6
0.26,0.06,28.0,0.9959,0.43,10.1,5
0.39,0.083,21.0,0.9989,0.71,11.5,7
0.11,0.043,6.0,0.99354,0.65,11.4,6
0.02,0.081,17.0,0.99745,0.6,9.7,6
0.55,0.081,35.0,1.0002,0.92,10.8,7
0.4,0.062,7.0,0.9941,0.7,11.1,5
0.5,0.09,20.0,0.99734,0.57,10.5,5
0.43,0.076,26.0,0.9984,0.57,10.1,6
0.28,0.11,20.0,0.9972,1.95,9.9,6
0.21,0.08,7.0,0.9961,0.47,9.5,5
0.62,0.082,6.0,1.0002,0.67,9.7,6
0.0,0.072,32.0,0.99491,0.56,11.2,6
0.49,0.066,5.0,1.0014,0.66,12.0,7
0.04,0.039,4.0,0.9962,0.47,9.4,5
0.0,0.062,21.0,0.99352,0.55,12.3,6
0.03,0.054,7.0,0.99508,0.63,11.5,6
0.29,0.074,32.0,0.99578,0.62,9.8,5
0.46,0.074,24.0,0.99534,0.85,11.0,7
0.31,0.07,4.0,0.99693,0.55,10.3,6
0.09,0.081,10.0,0.99479,0.59,11.5,6
0.02,0.064,29.0,0.99472,0.56,10.75,6
0.05,0.075,15.0,0.9974,0.61,9.1,5
0.22,0.106,12.0,0.9959,0.63,9.2,5
0.24,0.094,35.0,0.9982,0.53,9.2,5
0.1,0.08,16.0,0.99736,0.69,10.8,7
0.65,0.08,3.0,0.99817,0.58,11.0,5
0.06,0.077,15.0,0.99746,0.54,9.5,5
0.22,0.077,12.0,0.9967,0.51,9.2,5
0.24,0.087,5.0,0.9988,0.6,10.2,5
0.01,0.074,9.0,0.9958,0.56,9.5,6
0.09,0.117,9.0,0.99655,0.49,10.8,6
0.07,0.077,16.0,0.99748,0.54,9.7,5
0.54,0.095,22.0,0.99735,0.76,9.9,7
0.55,0.083,25.0,0.9995,0.82,10.4,6
0.21,0.088,21.0,0.99692,0.83,11.1,6
0.41,0.088,6.0,0.9988,0.8,9.3,5
0.36,0.074,12.0,0.9978,0.83,10.5,5
0.24,0.36,15.0,0.9964,1.59,9.5,5
0.24,0.085,16.0,0.9993,0.72,11.0,6
0.5,0.082,6.0,1.0006,0.78,10.7,6
0.4,0.066,40.5,0.9912,0.59,11.9,6
0.22,0.069,9.0,0.9968,1.2,10.3,5
0.03,0.075,14.0,0.99545,0.58,10.4,6
0.28,0.082,31.0,0.99694,0.48,9.4,5
0.03,0.071,27.0,0.995,0.49,12.7,6
0.0,0.088,19.0,0.999,0.6,9.3,5
0.47,0.067,18.0,0.99549,0.66,11.0,6
0.24,0.083,10.0,0.99685,0.56,10.0,6
0.31,0.079,26.0,0.99716,0.62,9.5,6
0.01,0.065,8.0,0.99332,0.51,11.8,6
0.19,0.161,7.0,0.99395,0.61,11.0,5
0.12,0.082,7.0,0.997,0.5,9.4,6
0.49,0.077,11.0,0.9963,0.63,11.6,7
0.11,0.073,13.0,0.9955,0.52,9.3,5
0.02,0.084,13.0,0.99538,0.54,10.5,6
0.13,0.102,17.0,0.9944,0.53,11.2,6
0.74,0.095,9.0,0.9994,0.77,10.8,7
0.48,0.157,5.0,0.9976,1.05,9.4,5
0.18,0.088,27.0,0.99915,0.77,9.4,5
0.52,0.071,12.0,1.0006,0.56,9.0,6
0.04,0.054,19.0,0.9927,0.62,12.2,7
0.24,0.077,18.0,0.9948,0.6,10.6,6
0.25,0.073,29.0,0.99615,0.58,10.5,6
0.31,0.112,11.0,0.99699,0.56,10.9,5
0.0,0.064,40.0,0.995,0.93,10.7,6
0.55,0.117,32.0,0.9968,0.62,9.4,5
0.23,0.102,37.0,0.9996,0.65,10.1,5
0.49,0.079,27.0,0.9994,0.75,10.4,6
0.4,0.079,3.0,0.99512,0.67,11.9,6
0.25,0.104,12.0,0.9963,0.9,10.1,5
0.0,0.105,22.0,0.9966,0.57,10.6,6
0.55,0.076,22.0,0.9996,0.89,9.9,6
0.47,0.056,9.0,0.99695,0.82,10.3,7
0.06,0.07,5.0,0.9942,0.48,9.8,5
0.25,0.083,8.0,0.99815,0.6,10.0,6
0.05,0.07,6.0,0.99562,0.66,10.8,6
0.02,0.087,21.0,0.9944,0.52,10.0,5
0.4,0.052,4.0,0.99356,0.7,12.8,7
0.24,0.077,18.0,0.9948,0.6,10.6,6
0.21,0.081,14.0,0.99689,0.66,9.8,5
0.45,0.082,6.0,0.9988,0.66,9.2,6
0.0,0.096,26.0,1.00025,0.72,9.8,4
0.09,0.068,15.0,0.99524,0.52,11.1,4
0.0,0.05,27.0,0.9916,0.79,14.0,6
0.1,0.048,12.0,0.99306,0.51,12.1,5
0.4,0.067,8.0,0.99603,0.6,10.5,5
0.23,0.082,10.0,0.99774,0.65,9.3,6
0.09,0.091,20.0,0.9976,0.86,10.6,7
0.08,0.097,15.0,0.9959,0.54,9.2,5
0.07,0.071,15.0,0.9951,0.66,10.8,6
0.09,0.081,15.0,0.99538,0.63,12.0,5
0.03,0.079,6.0,0.9963,0.5,12.2,5
0.66,0.074,10.0,1.0008,0.57,9.0,3
0.31,0.083,7.0,0.99718,0.68,10.3,5
0.03,0.059,32.0,0.9952,0.56,12.3,7
0.08,0.106,14.0,0.99665,0.58,10.2,5
0.08,0.067,8.0,0.99334,0.52,12.6,5
0.47,0.078,6.0,0.9976,1.04,10.9,7
0.02,0.084,13.0,0.99538,0.54,10.5,6
0.66,0.121,6.0,0.9978,0.74,11.5,7
0.0,0.084,6.0,0.9983,0.96,9.9,6
0.02,0.067,4.0,0.997,0.68,9.5,5
0.27,0.067,8.0,0.99384,0.56,12.0,6
0.48,0.068,7.0,0.9973,0.64,10.1,6
0.07,0.091,15.0,0.99572,0.6,11.3,6
0.37,0.049,36.0,0.99007,0.44,12.7,6
0.15,0.064,12.0,0.9929,0.59,12.8,6
0.59,0.077,3.0,0.9994,0.78,9.6,5
0.14,0.114,9.0,0.99732,0.65,9.8,5
0.32,0.062,31.0,0.99728,0.65,10.0,7
0.08,0.063,42.0,0.99608,0.6,10.2,6
0.02,0.115,6.0,0.99654,0.69,9.5,5
0.0,0.074,16.0,0.9972,0.7,9.9,6
0.25,0.081,10.0,0.99685,0.5,11.0,5
